[5.0-9.0] 各位市長會賓 活動即將開始 請盡速入座 謝謝
[9.0-59.8] 市長會賓 活動即將開始 請盡速入座 謝謝
[59.8-74.9] 市長嘉賓 本次會議將接下來進行的是第六場工作坊
[74.9-78.9] 有請張哲文張老師 謝謝
[78.9-81.9] 好 各位老師大家好
[81.9-85.9] 那 剛剛醫藥師保有休息了一陣子
[85.9-89.9] 對 那我們下午 也是我個人的最後一場
[89.9-91.9] 好 努力的把這場看完這樣子
[91.9-95.9] 那 我想說在下午場開始之前
[95.9-99.9] 我想說先把那個上午有一個小部分沒有結束的地方
[1575.6-1578.6] 然後再丟給使用者
[1578.6-1580.6] 因為有function coding的工具之後
[1580.6-1582.6] 我們開始慢慢的發現
[1582.6-1586.6] AI能夠把很多很多的工具都整合在一起
[1586.6-1588.6] 那只是講一個最簡單的例子
[1588.6-1589.6] 比如說好了
[1589.6-1590.6] 你要讓它去呼叫
[1590.6-1591.6] 比如說你的web
[1591.6-1592.6] 就是你的網頁的資料
[1592.6-1596.6] 它就呼叫所謂的Google Chrome的這個應用程式
[1596.6-1598.6] 或者是說
[1598.6-1599.6] 你想要去訂Uber Eats
[1599.6-1601.6] 它可能就透過網路的方式
[1601.6-1603.6] 去呼叫你的手機
[1603.6-1605.6] 然後把手機在Uber Eats開啟
[1605.6-1606.6] 然後輸入你想要吃什麼
[1606.6-1608.6] 然後就會去呼叫它
[1608.6-1611.6] 就是function coding一個很強的呼叫工具
[1611.6-1613.6] 後來隨著發展之後
[1613.6-1614.6] 它就又做了一件事情
[1614.6-1616.6] 因為我們以前在coding的時候
[1616.6-1618.6] 其實在GitHub裡面
[1618.6-1620.6] 儲存了大量的一種檔案的格式
[1620.6-1622.6] 叫DIFF的這個格式
[1622.6-1624.6] 這個格式基本上就是紀錄
[1624.6-1626.6] 我每一次的在coding的過程中
[1626.6-1627.6] 哪些資料被刪掉
[1627.6-1628.6] 哪些資料是增加的
[1628.6-1630.6] 它有一個所謂的編輯
[1630.6-1631.6] 跟那個路的
[1631.6-1632.6] 跟那個什麼
[1632.6-1633.6] 歷程
[1633.6-1636.6] 就是跟Git的那個概念其實很像
[1636.6-1638.6] 那大家只要想像一件事情就好了
[1638.6-1639.6] 這個東西就是說
[1639.6-1640.6] 我們有很多的紀錄
[1640.6-1642.6] 而這些紀錄裡面
[1642.6-1643.6] 紀錄哪些程式
[1643.6-1644.6] 上面出現哪些問題
[1644.6-1645.6] 如何修改的
[1645.6-1646.6] 這樣子的
[1646.6-1648.6] 大量的大量的文字
[1648.6-1649.6] 它把這個文字
[1649.6-1651.6] 拿來做為訓練AI的
[1651.6-1653.6] 原模型的一個基本的資料
[1653.6-1655.6] 如此一來AI就知道
[1655.6-1658.6] 哪些的coding是有問題的
[1658.6-1660.6] 哪些的coding是怎樣才算是正確
[1660.6-1661.6] 比如說我們早上
[1661.6-1662.6] 用了警字號的工具
[1662.6-1663.6] 它為什麼知道
[1663.6-1664.6] 你的警字號工具的
[1664.6-1665.6] coding怎麼寫
[1665.6-1666.6] 很簡單
[1666.6-1668.6] 因為它已經記錄了大量的
[1668.6-1669.6] 過去在GitHub裡面的
[1669.6-1671.6] 寫警字號的這個
[1671.6-1673.6] 這樣子的一個程式
[1673.6-1674.6] 裡面的內容
[1674.6-1675.6] 它當然知道警字號的工具
[1675.6-1676.6] 需要深入的
[1676.6-1678.6] 來生產出怎麼樣的文字
[1678.6-1679.6] 它就會變成是
[1679.6-1681.6] 可以執行的一個程式
[1681.6-1683.6] 所以它全部都有辦法
[1683.6-1684.6] 這樣子把它整起來
[1684.6-1686.6] 所以像你的電腦
[1686.6-1687.6] 像你的AI都有辦法
[1687.6-1688.6] 幫你coding
[1688.6-1691.6] 那就變得非常非常的方便
[1691.6-1694.6] 我們把前面的function coding
[1694.6-1696.6] 跟vibe coding
[1696.6-1698.6] 還有這些所有的工具
[1698.6-1700.6] 全部整合在一起
[1700.6-1702.6] 把它的系統化的過程
[1702.6-1703.6] 我們就把它統合在一起
[1703.6-1705.6] 稱之為AI agent
[1705.6-1707.6] 所以AI代理人
[1707.6-1708.6] 因為它看起來好像是一個人
[1708.6-1710.6] 能夠幫你做決策的樣子
[1710.6-1711.6] 可是它的底層
[1711.6-1713.6] 其實都還是圍繞在什麼
[1713.6-1714.6] 圍繞在語言模型
[1714.6-1715.6] 你問它問題
[1715.6-1717.6] 它最後生產出什麼答案
[1717.6-1718.6] 只是關鍵是在於說
[1718.6-1720.6] 它如何透過剛剛前面
[1720.6-1721.6] 所描述的這些東西
[1721.6-1724.6] 把這些工具生產出來
[1724.6-1725.6] AI agent裡面
[1725.6-1726.6] 通常會有預先寫好的
[1726.6-1727.6] 一些程式
[1727.6-1729.6] 比如說read就是讀
[1729.6-1730.6] write就是寫
[1730.6-1731.6] list就是檔案的目錄
[1731.6-1732.6] 同時它有很多
[1732.6-1734.6] IO操作介面的函式
[1734.6-1736.6] 那東西整合起來之後
[1736.6-1738.6] 以後我們問它問題
[1738.6-1740.6] 就跟我們前面用Codex一樣
[1740.6-1741.6] 當你剛剛問它問題的時候
[1741.6-1742.6] 它開始呼叫工具
[1742.6-1743.6] 你可以看到它
[1743.6-1744.6] 它會一個一個列給你看
[1744.6-1746.6] 說它呼叫什麼工具
[1746.6-1747.6] 它甚至呼叫失敗的時候
[1747.6-1748.6] 它會告訴你說
[1748.6-1749.6] 我失敗了
[1749.6-1751.6] 所以當大學人模型接受到
[1751.6-1753.6] Agent剛才講說它失敗的時候
[1753.6-1755.6] 人模型後來做一件事情
[1755.6-1757.6] 就像我們教教學生一樣
[1757.6-1758.6] 如果一個學生作業寫失敗
[1758.6-1759.6] 那你叫他幹嘛
[1759.6-1760.6] 再寫一遍
[1760.6-1761.6] 所以一樣
[1761.6-1762.6] Agent就會跟大家講說
[1762.6-1763.6] 那你再寫一遍
[1763.6-1764.6] 對
[1764.6-1765.6] 然後比如再寫一遍
[1765.6-1766.6] 如果你還是失敗
[1766.6-1767.6] 就說你是不是少了什麼東西
[1767.6-1768.6] 因為它知道
[1768.6-1769.6] 通常有時候寫失敗
[1769.6-1770.6] 是因為少了什麼東西
[1770.6-1771.6] 它就跟人模型說
[1771.6-1773.6] 是不是少了什麼東西
[1773.6-1774.6] 你應該要怎麼樣增加
[1774.6-1775.6] 人模型亂過一遍就知道
[1775.6-1777.6] 它可能少了什麼
[1777.6-1778.6] 然後再繼續呼叫
[1778.6-1780.6] 它就一個一來一回這個過程
[1780.6-1781.6] 但不用懷疑
[1781.6-1784.6] 這個過程都蠻消耗Token的
[1784.6-1785.6] 每一次的傳送
[1785.6-1786.6] 我問它一個問題
[1786.6-1788.6] 其實它是重複傳送過
[1788.6-1790.6] 很多很多次的上下輪的
[1790.6-1791.6] 這樣子的指令
[1791.6-1793.6] 去給人模型進行同心炮
[1793.6-1796.6] 這個過程其實是很消耗Token的
[1796.6-1797.6] 很消耗Token的
[1797.6-1798.6] 那如此一來
[1798.6-1800.6] 語言模型就有辦法控制電腦
[1800.6-1801.6] 幫你做到任何
[1801.6-1802.6] 可以透過程式來執行的
[1802.6-1804.6] 很多很多的工作
[1804.6-1805.6] 很多的工作
[1805.6-1806.6] 所以回到根本
[1806.6-1807.6] 其實語言模型本身
[1807.6-1809.6] 還是一個機率生成的工具
[1809.6-1810.6] 只是呢
[1810.6-1811.6] 它好像變得可以幫我們
[1811.6-1813.6] 做一些某些部分的決策
[1813.6-1815.6] 或者是幫我們省略掉
[1815.6-1816.6] 許許多多我們不想知道
[1816.6-1817.6] 或者是說
[1817.6-1819.6] 我們知道也看不懂的東西
[1819.6-1820.6] 然後好像變成是說
[1820.6-1821.6] 它什麼都可以做的樣子
[1821.6-1823.6] 但它本質還是一樣
[1823.6-1825.6] 沒有改變
[1825.6-1826.6] 這導致一個現象就是說
[1826.6-1829.6] 程式設計好像變得零門檻
[1829.6-1831.6] 這時候並不是真正的零門檻
[1831.6-1832.6] 而是說
[1832.6-1834.6] 對我們這些門外漢來講
[1834.6-1836.6] 對程式設計門外漢來講
[1836.6-1838.6] 可以很快的生產出一個
[1838.6-1841.6] 透過程式所做出來的工具
[1841.6-1842.6] 那有這個工具之後
[1842.6-1843.6] 我們就可以進一步做
[1843.6-1845.6] 很多很多的事情
[1845.6-1847.6] 當然如果對於資工系的老師
[1847.6-1848.6] 或者是說對於那個專門開發
[1848.6-1850.6] 程式的人來講
[1850.6-1851.6] 裡面其實會有很多很多的問題
[1851.6-1853.6] 要進行微調
[1853.6-1855.6] 可是這個已經超越我們的範圍
[1855.6-1856.6] 這本來就不是我們的工作
[1856.6-1857.6] 我們的工作就是
[1857.6-1859.6] 這個程式設計變得很容易
[1859.6-1861.6] 比如說我今天要寫個網頁
[1861.6-1862.6] 早上不是有寫網頁很容易
[1862.6-1864.6] 還有剛剛大家用的skill
[1864.6-1865.6] 也是這麼做出來的
[1865.6-1866.6] 也是這麼弄出來的
[1866.6-1867.6] 那變得很容易
[1867.6-1868.6] 那我們就可以很快的
[1868.6-1869.6] 至少能做完之後
[1869.6-1871.6] 然後能夠跟資工系的老師
[1871.6-1873.6] 或是跟專家們去討論說
[1873.6-1874.6] 如果行進一步做
[1874.6-1876.6] 那怎麼樣的內容會怎麼樣的問題
[1876.6-1878.6] 才能夠去討論它
[1878.6-1879.6] 一樣我們早上其實講過
[1879.6-1881.6] MCP這個工具
[1881.6-1883.6] 就是這個這樣子的上下文模型
[1883.6-1884.6] 我們可以進行協定
[1884.6-1885.6] 透過MCP
[1885.6-1886.6] 我們就可以去連線
[1886.6-1887.6] 不同的資料庫
[1887.6-1888.6] 不同的資料庫
[1888.6-1890.6] 它的本質其實也是什麼
[1890.6-1892.6] 也一樣是上下文模型
[1892.6-1895.6] 只是它輸出的那些東西裡面
[1895.6-1897.6] 帶有能夠跟別人
[1897.6-1899.6] 或其他資料庫進行通訊的
[1899.6-1900.6] 一些內部的協力
[1900.6-1902.6] 跟設定在裡面而已
[1902.6-1904.6] 比如說你在進食售檔案館
[1904.6-1905.6] 你的帳號跟密碼
[1905.6-1906.6] 可能在MCP協議裡面
[1906.6-1907.6] 已經先寫上去了
[1907.6-1909.6] 所以如果兩個連線在一起
[1909.6-1911.6] 我每次問他問題的時候
[1911.6-1913.6] 他就會到那個進食售檔案館
[1913.6-1915.6] 把我們的帳號密碼輸入進去
[1915.6-1916.6] 就有那個許可權
[1916.6-1917.6] 才能夠呼叫
[1917.6-1920.6] 就是這樣的過程
[1920.6-1921.6] 那就變成我們看到的
[1921.6-1924.6] 這樣子的代理人的出現
[1924.6-1925.6] 剛剛有講到
[1925.6-1927.6] 比如說我輸入你好的時候
[1927.6-1929.6] 真正給LLM的資料
[1929.6-1931.6] 其實超過90K
[1931.6-1933.6] 比如說user farm就是你好
[1933.6-1935.6] 讀程式碼的注意事項
[1935.6-1936.6] 就是說你讀程式碼的時候
[1936.6-1937.6] 該注意什麼
[1937.6-1938.6] 就是用HARMES
[1938.6-1939.6] HARMES的概念等一下講
[1939.6-1941.6] 然後如何管理記憶
[1941.6-1942.6] 管理上下文的說明
[1942.6-1943.6] 還有如何
[1943.6-1944.6] 使用skill
[1944.6-1946.6] 還有當前的執行的環境是什麼
[1946.6-1947.6] 還有目前有一些
[1947.6-1949.6] 指agent的用途有什麼
[1949.6-1951.6] 比如說我今天
[1951.6-1952.6] 透過一個東西
[1952.6-1953.6] 一個指令給他
[1953.6-1954.6] 他會把自己的任務
[1954.6-1956.6] 自行拆解
[1956.6-1958.6] 他會把我給他的東西
[1958.6-1959.6] 拆解成不同的任務
[1959.6-1960.6] 這不同的任務
[1960.6-1962.6] 在丟給不同的元模型
[1962.6-1964.6] 或不同的一個agent裡面
[1964.6-1965.6] 去進行
[1965.6-1967.6] 同時進行作業之後
[1967.6-1971.6] 把結果回到自己的agent上面
[1971.6-1972.6] 再進行統合
[1972.6-1974.6] 有時候他會有辦法自行拆解任務
[1974.6-1975.6] 還有東西
[1975.6-1977.6] 他會有辦法把那個任務的次序
[1977.6-1978.6] 自己排好
[1978.6-1980.6] 因為他透過前面的
[1980.6-1981.6] 前面有的東西
[1981.6-1982.6] 都有一次辦法知道
[1982.6-1984.6] 這樣子的一個過程
[1984.6-1985.6] 還有他有裡面很多
[1985.6-1988.6] 各個不同工具的詳細的描述
[1988.6-1990.6] 那大家也知道
[1990.6-1991.6] 寫了這麼多東西裡面
[1991.6-1993.6] 已經連擬好兩個字
[1993.6-1995.6] 就有90K的資料
[1995.6-1996.6] 那是一個多可怕的東西
[1996.6-1997.6] 也就是說
[1997.6-1998.6] 還會消耗大量的token
[1998.6-1999.6] 也會產生很多判決
[1999.6-2000.6] 所以這也可能是
[2000.6-2001.6] 未來要解決的問題
[2001.6-2004.6] 未來要解決的一個瓶頸所在
[2004.6-2005.6] 我們看一下AI agent
[2005.6-2007.6] 大概會是一個這樣子的一個
[2007.6-2009.6] 這是我自己畫出來的一個樣子
[2009.6-2012.6] 就是使用者透過agent
[2012.6-2013.6] 這個agent讀
[2013.6-2015.6] 這是我們本地端的自己的電腦
[2015.6-2017.6] 透過agent去讀這些東西
[2017.6-2019.6] 然後把這些東西丟給這個
[2019.6-2020.6] 丟到AI公司的這個
[2020.6-2022.6] 所謂的聊通的介面
[2022.6-2024.6] 這個介面再傳回去給
[2024.6-2025.6] 透過網路通訊
[2025.6-2028.6] 傳回去給他們公司的大局面模型
[2028.6-2030.6] 然後處理完之後再回來
[2030.6-2031.6] 然後透過這樣子的介面
[2031.6-2033.6] 再傳回去給你看
[2033.6-2034.6] 如果agent不需要
[2034.6-2035.6] 認為不需要再處理了
[2035.6-2037.6] 就把結果給使用者看
[2037.6-2039.6] 可是往往這個過程中
[2039.6-2040.6] 因為一個簡單的問題
[2040.6-2041.6] 這個過程中是
[2041.6-2043.6] 反覆好幾次的結果
[2043.6-2044.6] 反覆好幾次的結果
[2044.6-2045.6] 剛剛在上課前
[2045.6-2047.6] 那個李老師也有問我
[2047.6-2048.6] 那未來會怎麼樣
[2048.6-2051.6] 比如說以後我們可能就是
[2051.6-2053.6] 直接在這邊架了一個
[2053.6-2054.6] 本地端的什麼
[2054.6-2056.6] 本地端的一個伺服器
[2056.6-2058.6] 那我們就不需要透過
[2058.6-2060.6] 商業公司的語言模型了
[2060.6-2062.6] 我們可以自己架一個語言模型
[2062.6-2063.6] 這是有可能的
[2063.6-2064.6] 只要有錢都是有可能的
[2064.6-2066.6] 有新臺幣就可以
[2066.6-2067.6] 有新臺幣就可以
[2067.6-2070.6] 所以如果你想要你的資訊安全
[2070.6-2071.6] 你就必須把這個
[2071.6-2073.6] 挪到這裡面來
[2073.6-2075.6] 這不見得只是使用者電
[2075.6-2076.6] 比如說是本地端
[2076.6-2078.6] 比如說未來每個歷史系
[2078.6-2080.6] 有自己的一個H200的晶片
[2080.6-2082.6] 那我們就可以把它移進來
[2082.6-2083.6] 那就不會有問題
[2083.6-2084.6] 就不會有問題
[2084.6-2086.6] 當然這個移進來的過程中
[2086.6-2087.6] 需要大量的資金
[2087.6-2089.6] 還有一個問題就是
[2090.6-2092.6] 任何資本所支援出來的服務
[2092.6-2093.6] 一定都是最好最快的
[2093.6-2094.6] 如果我們把它移進來
[2094.6-2095.6] 相信我那個服務
[2095.6-2096.6] 不會比我們現在用的
[2096.6-2097.6] 確認GPD還要好用
[2097.6-2098.6] 一定不會
[2098.6-2100.6] 畢竟他們有最新的工程師
[2100.6-2101.6] 最好的技術
[2101.6-2103.6] 然後有大量的晶片在那邊運算
[2103.6-2104.6] 當然比較強
[2104.6-2105.6] 當然比較強
[2105.6-2107.6] 那AI Agents的基本架構
[2107.6-2109.6] 我們剛剛講那麼多的原因
[2109.6-2110.6] 證明在這邊
[2110.6-2111.6] 它有很多很多的工具
[2111.6-2112.6] 比如說好了
[2112.6-2114.6] 它可以透過讀取日曆
[2114.6-2115.6] 讀取計算機
[2115.6-2117.6] 讀取程式碼直譯器
[2117.6-2118.6] 然後去搜尋等等
[2118.6-2119.6] 很多很多的工具
[2119.6-2121.6] 比如說它可以透過
[2121.6-2123.6] 它可以透過把記憶分為
[2123.6-2124.6] 長期跟短期記憶
[2124.6-2125.6] 進行記憶的壓縮
[2125.6-2126.6] 因為我們問它問題的時候
[2126.6-2127.6] 有些東西是不需要
[2127.6-2128.6] 可以被驅除掉的
[2128.6-2130.6] 可以把那個Context Window
[2130.6-2131.6] 把Context把它
[2131.6-2133.6] 盡量的壓縮跟減少
[2133.6-2134.6] 一樣它有辦法透過
[2134.6-2135.6] 所謂的計畫的東西
[2135.6-2137.6] 去做很多很多的
[2137.6-2138.6] 比如說自己的審查
[2138.6-2140.6] 自我反思的機制
[2140.6-2141.6] 思維鏈的方式
[2141.6-2142.6] 還有這下面是指
[2142.6-2144.6] Agent的目標的裁解
[2144.6-2145.6] 這些不同的東西
[2145.6-2146.6] 然後最後它有一個行動
[2146.6-2148.6] 因為工具就可以去呼叫
[2148.6-2149.6] 進行行動
[2149.6-2150.6] 但是整個的Agent
[2150.6-2151.6] 是這樣子的基礎架構
[2151.6-2153.6] 把它架起來的
[2153.6-2154.6] 把它架起來
[2154.6-2155.6] 這一系列的過程
[2155.6-2157.6] 基本上都跟所謂的
[2157.6-2158.6] 整個系統的工程
[2158.6-2160.6] 是有很大很大的關係的
[2160.6-2161.6] 很大的關係
[2161.6-2162.6] 說真的我們其實
[2162.6-2163.6] 做不到這個點
[2163.6-2164.6] 但是我們知道
[2164.6-2165.6] 它有這樣子的一個過程
[2165.6-2166.6] 就可以了
[2166.6-2167.6] 比如說
[2167.6-2168.6] 我舉個例
[2168.6-2169.6] 我舉例
[2169.6-2170.6] 比如說女朋友說
[2170.6-2171.6] 她肚子餓了
[2171.6-2172.6] 這個時候Agent
[2172.6-2173.6] 收到這個問題
[2173.6-2174.6] 就會把它放到
[2174.6-2176.6] User Park裡面
[2176.6-2178.6] 然後Agent就會透過
[2178.6-2179.6] MCP的服務
[2179.6-2180.6] 去檢查MCP裡面
[2180.6-2182.6] 有什麼樣的工具
[2182.6-2183.6] 然後她就知道說
[2183.6-2184.6] 哇
[2184.6-2185.6] 它可能有什麼
[2185.6-2186.6] 搜尋網頁的工具
[2186.6-2187.6] 所以她就透過
[2187.6-2189.6] 這個網頁的工具裡面
[2189.6-2190.6] 然後去生成一個
[2190.6-2191.6] Function Calling
[2191.6-2194.6] 然後去呼叫這樣子的網頁
[2194.6-2195.6] 呼叫完之後
[2195.6-2196.6] 發現MCP裡面
[2196.6-2197.6] 有一個Uber Eats的
[2197.6-2199.6] 一個MCP的功能
[2199.6-2201.6] 然後她就透過Uber Eats裡面
[2201.6-2202.6] 去找說
[2202.6-2204.6] 我想要訂麥當勞
[2204.6-2205.6] 對不對
[2205.6-2206.6] 我想要訂麥當勞
[2206.6-2207.6] 因為女朋友的
[2207.6-2208.6] 以前過去的對話紀錄
[2208.6-2209.6] 她喜歡吃麥當勞
[2209.6-2210.6] 這個時候電腦就會
[2210.6-2212.6] Agent收到這個東西之後
[2212.6-2214.6] 他就會告訴MCP說
[2214.6-2215.6] 那請幫我
[2215.6-2217.6] 在Uber Eats的
[2217.6-2218.6] 這樣的頁面裡面
[2218.6-2220.6] 去訂這個東西
[2220.6-2221.6] 麥當勞
[2221.6-2222.6] 然後訂了之後
[2222.6-2223.6] 訂了之後
[2223.6-2224.6] 他呼叫回來之後
[2224.6-2225.6] 會告訴你說
[2225.6-2226.6] 要付錢耶
[2226.6-2227.6] 所以信用卡的MCP
[2227.6-2228.6] 又出現了
[2228.6-2229.6] 所以信用卡就是
[2229.6-2230.6] 透過信用卡的MCP
[2230.6-2231.6] 呼叫資料之後
[2231.6-2232.6] 付款
[2232.6-2233.6] 它就自動付款了
[2233.6-2234.6] 付完錢之後
[2234.6-2235.6] 對方廠商
[2235.6-2236.6] 收到錢了之後
[2236.6-2238.6] 廠商收到錢之後
[2238.6-2239.6] 就幫你麥當勞做好之後
[2239.6-2241.6] 他的那個Uber
[2241.6-2243.6] 就去拿你的餐點
[2243.6-2245.6] 然後拿到你家門口
[2245.6-2246.6] 你下去拿就可以了
[2246.6-2247.6] 退下就可以
[2247.6-2248.6] 之前說
[2248.6-2249.6] 你會發現一件事情
[2249.6-2251.6] 這一期的過程中
[2251.6-2252.6] 只做了一件事情
[2252.6-2253.6] 說女朋友肚子餓了怎麼辦
[2253.6-2254.6] 然後最後她想吃麥當勞
[2254.6-2255.6] 麥當勞收到你家門口
[2255.6-2257.6] 這很大很大的關鍵是
[2257.6-2260.6] 為什麼一定是麥當勞
[2260.6-2261.6] 或者是說
[2261.6-2262.6] 為什麼一定是某一種食物
[2262.6-2263.6] 也就是說
[2263.6-2264.6] 對Google來講
[2264.6-2265.6] 對這些商業公司來講
[2265.6-2267.6] 未來這個是有很強很強的
[2267.6-2268.6] 商業的可能性
[2268.6-2270.6] 因為你要吃什麼東西
[2270.6-2271.6] 看起來隨機生成
[2271.6-2272.6] 只要看起來隨機生成
[2272.6-2275.6] 都有可能是用廠商置入
[2275.6-2276.6] 比如說好了
[2276.6-2277.6] 比如說我今天
[2277.6-2279.6] 是在你家門口旁邊
[2279.6-2281.6] 賣的一個米粉湯好了
[2281.6-2282.6] 我就去買廣告
[2282.6-2283.6] 跟Google買廣告說
[2283.6-2285.6] 當大家說肚子餓的時候
[2285.6-2287.6] 方言幾公里以內的人
[2287.6-2288.6] 說他肚子餓的時候
[2288.6-2290.6] 請先幫我退鍋米粉湯
[2290.6-2291.6] 放在第一個位置
[2291.6-2292.6] 就跟過去的什麼
[2292.6-2293.6] 關鍵字搜尋
[2293.6-2294.6] 是一樣的道理
[2294.6-2295.6] 而且問題是他
[2295.6-2296.6] 而且其實算是
[2296.6-2297.6] 我人是懶惰的
[2297.6-2298.6] 人會做一件事情
[2298.6-2299.6] 說反正他推廣門
[2299.6-2300.6] 就給我吃什麼就好了
[2300.6-2301.6] 然後他就自動米粉
[2301.6-2302.6] 送到你面前
[2302.6-2303.6] 你根本連選擇都沒得選擇
[2303.6-2305.6] 也是有可能的
[2305.6-2306.6] 也是有可能
[2306.6-2307.6] 比如說我們剛剛講那個沙盒
[2307.6-2308.6] 就是說全部帶我的決策
[2308.6-2310.6] 99%人都按帶我決策
[2310.6-2312.6] 因為我們都很懶惰
[2312.6-2314.6] 懶惰是百分之整的本性
[2314.6-2316.6] 最後就米粉就大賣這樣子
[2316.6-2317.6] 這就是一個過程
[2317.6-2318.6] skill也是一樣
[2318.6-2319.6] skill就是把
[2319.6-2322.6] 透過.md檔案的這個資料夾
[2322.6-2324.6] skill.md檔案這個資料夾
[2324.6-2326.6] 把剛剛那一系列的那個過程
[2326.6-2327.6] 拆解的過程
[2327.6-2328.6] 都先寫出來
[2328.6-2330.6] 然後每次電腦在執行的
[2330.6-2332.6] Codex在執行的時候
[2332.6-2334.6] 就先去看一下你每個步驟
[2334.6-2335.6] 你一步驟都弄好了
[2335.6-2337.6] 告訴他你的東西放哪裡
[2337.6-2338.6] 你的第一步驟
[2338.6-2340.6] 是要把什麼檔案分類好
[2340.6-2341.6] 第二步驟是要OCR
[2341.6-2342.6] 第三步驟是OCR
[2342.6-2343.6] 說多進去翻譯
[2343.6-2345.6] 這過程之中
[2345.6-2347.6] 他都在skill幫你寫好了
[2347.6-2349.6] 他每進行一步的時候
[2349.6-2350.6] 進行下一步的時候
[2350.6-2351.6] 再回去skill讀一下
[2351.6-2352.6] 因為下一步是做什麼
[2352.6-2353.6] 然後再繼續做
[2353.6-2354.6] 居然是反覆反覆反覆
[2354.6-2356.6] 最後就變成出我們剛剛
[2356.6-2358.6] 給大家做的那個樣子
[2358.6-2360.6] 給大家做的那個樣子
[2360.6-2361.6] 你就知道這個過程
[2361.6-2364.6] 就是好像看起來很厲害
[2364.6-2366.6] 其實說穿著也沒有多強
[2366.6-2367.6] 就是這個樣子
[2367.6-2371.6] 然後Hanis的意思其實也很簡單
[2371.6-2372.6] 之前有一陣子
[2372.6-2373.6] 大家吵得很多
[2373.6-2375.6] 因為是在AI圈裡面
[2375.6-2377.6] 我每天早上都會聽
[2377.6-2380.6] 就說這個Hanis發展多厲害
[2380.6-2381.6] 其實很簡單
[2381.6-2383.6] 關鍵來講就是說
[2383.6-2387.6] 把AI Agents這樣子的流程系統化
[2388.6-2390.6] 然後進而控制語言模型
[2390.6-2394.6] 讓它更符合跟人更符合規範
[2394.6-2396.6] 符合比如說那個資安的規範
[2396.6-2398.6] 或更符合人的需求
[2398.6-2400.6] 並且創造出一個穩定的
[2400.6-2402.6] 以大學語言模型為核心的
[2402.6-2404.6] 一個工作的系統
[2404.6-2405.6] 而且讓語言模型來
[2405.6-2408.6] 替人們做出一些決策跟判斷
[2408.6-2410.6] 人只要去思考自己想要什麼
[2410.6-2411.6] 以及判斷
[2411.6-2413.6] 以及最後的判斷跟檢查而已
[2413.6-2414.6] 也就是說
[2414.6-2415.6] 他透過有一些的
[2415.6-2416.6] 一些工程的技術
[2416.6-2418.6] 把這樣子前面的東西
[2418.6-2420.6] 那些AI Agents看起來很分散的東西
[2420.6-2423.6] 把它進行系統化的整理而已
[2423.6-2424.6] 系統化的整理
[2424.6-2427.6] 然後其實我們要問的就是什麼
[2427.6-2429.6] 其實我們應該要問的是說
[2429.6-2432.6] 那剛前這些東西都是什麼
[2432.6-2434.6] 都是商用的公司
[2434.6-2436.6] 或者是某一些工程師
[2436.6-2438.6] 就是思考說符合他們自己
[2438.6-2440.6] 需求的Hanis的設計
[2440.6-2441.6] 那問題是
[2441.6-2443.6] 那我們人文研究有沒有辦法
[2443.6-2446.6] 進行自己人文研究的Hanis的設計呢
[2446.6-2448.6] 或者是說我們的研究到底有
[2448.6-2450.6] 什麼樣的特定的流程呢
[2450.6-2451.6] 這也是一個我們未來
[2451.6-2454.6] 可以去思考的問題
[2454.6-2455.6] 簡單說
[2455.6-2456.6] 回歸到後來
[2456.6-2457.6] 不管是AI Agent
[2457.6-2459.6] 或是大力學員模型
[2459.6-2461.6] 其實關鍵都是在於使用者需求
[2461.6-2463.6] 到底是什麼
[2463.6-2464.6] 到底是什麼
[2464.6-2466.6] 所以其實某種程度上面
[2466.6-2468.6] 人們好像變得不用親自執行
[2468.6-2469.6] 而且執行
[2469.6-2470.6] 但是物理執行
[2470.6-2471.6] 任務工作並沒有消失
[2471.6-2473.6] 只是也變成不同的形態
[2473.6-2475.6] 人的核心職責已經開始產生了變化
[2475.6-2477.6] 變成了要如何建立一個穩定
[2477.6-2480.6] 可靠的工作的一個系統架構
[2480.6-2481.6] 來支撐這個框架
[2481.6-2484.6] 進而提供了更多的工作的效率
[2484.6-2485.6] 從人文學界來講的話
[2485.6-2486.6] 我們就要去思考
[2486.6-2488.6] AI Agent它確實重塑
[2488.6-2491.6] 有沒有可能重塑人文學界的工作流程
[2491.6-2493.6] 來致於未來我們整個學界的運作機制
[2493.6-2495.6] 都不是很有可能的
[2495.6-2496.6] 都是很有可能的
[2496.6-2497.6] 關鍵可能是在於
[2497.6-2498.6] 我們到底要什麼
[2498.6-2500.6] 所以我們可以看到一個AI Agent
[2500.6-2502.6] 從2025年年底到現在的
[2502.6-2504.6] 一系列的變化的過程可以知道
[2504.6-2507.6] 提示值工程告訴我們是怎麼用
[2507.6-2510.6] 張恰文工程告訴我們是怎麼記
[2510.6-2512.6] 而Hannes工程告訴我們是
[2512.6-2514.6] 我們要怎麼進行管理
[2514.6-2517.6] 這是一個一系列的一個發展的歷程
[2517.6-2519.6] 那其實關鍵在於是
[2519.6-2521.6] 我們如何去設計一個
[2521.6-2523.6] 符合歷史學研究人文研究
[2523.6-2525.6] 或者是寫作創作流程的AI Agent呢
[2525.6-2528.6] 這個我覺得等一下下一堂
[2528.6-2530.6] 老師可能會稍微講一下
[2530.6-2532.6] 那回過頭來就是說
