[0.1-4.5] 假題為AI如何輔助人設領域學生學習與探索
[1089.9-1090.9] 我就會告訴
[1090.9-1092.9] 你下次也許要不要想一下這個問題
[1092.9-1094.9] 然後你有沒有想過那個問題
[1094.9-1097.5] 讓學生走的時候可以走得比較深
[1097.5-1099.7] 不會只停留在表面
[1099.7-1102.2] 另外一個這樣批判者的設計就有兩個說
[1102.2-1103.9] 學生如果在某個地方
[1103.9-1107.2] 地圖他自己覺得有一個想法在哪裡很好
[1107.2-1108.7] 我們不能說他選不錯
[1108.7-1110.6] 但批判者這時候可以跳出來
[1110.6-1112.2] 就是說因為這個文字
[1112.2-1114.3] 搞不好還有另外一個角度的看法
[1114.3-1115.5] 另外一些學派
[1115.5-1118.2] 不同的深度或不同的領域的角度來看
[1118.2-1121.0] 然後就站在另外一個領域提出另外一個comment
[1121.0-1123.3] 這時候學生就要跟他做對話
[1123.3-1124.9] 那這樣的話學生才會調了說
[1124.9-1126.7] 原來這件事情還有另外一種想法
[1126.7-1127.9] 他以前已經知道了
[1127.9-1129.7] 那這就是批判者可以提供的功能
[1129.7-1131.1] 那大家可以看一下
[1131.1-1132.6] 然後這個我來做一調整一下
[1132.6-1136.6] 就讓他們不能跟學生吵架了
[1136.6-1137.1] 那不管是
[1137.1-1138.1] 他就利用一個地圖
[1138.1-1140.8] 然後去分析這個文字
[1140.8-1143.0] 那學生當然沒有看到這個地圖
[1143.0-1145.8] 但是他在討論過程中卻不是盲目的
[1145.8-1147.2] 這就和一般的AI不一樣
[1147.2-1149.1] 因為一般的AI是跟著使用者
[1149.1-1150.6] 他想要談東西而談
[1150.6-1152.9] 談到一半他想說我家裡有什麼事
[1152.9-1153.2] 然後
[1153.2-1154.1] 我女朋友怎麼樣
[1154.1-1155.8] 那AI就跟著他跑過去
[1155.8-1157.0] 但是我們的小太太
[1157.0-1159.2] 而且我們這個獨辦是不會這樣的
[1159.2-1161.4] 他就focus在這個文字上面去談
[1161.4-1163.2] 所以他不會被拉走
[1163.2-1164.9] 就因為他有個核心
[1164.9-1168.0] 這和一般的LM不一樣
[1168.0-1168.6] 那所以說
[1168.6-1170.0] 但是學生可以做什麼
[1170.0-1171.3] 學生還是有自由度的
[1171.3-1174.1] 學生可以決定一個動態的對話方式
[1174.1-1176.2] 那這個就是ELM他很重要的貢獻
[1176.2-1177.7] 就是他覺得說學生在想的時候
[1177.7-1178.9] 通常不是限定的
[1178.9-1180.7] 他有時候突然想到這個點是怎麼樣
[1180.7-1182.2] 他想繼續延伸出去
[1182.2-1183.2] 那現在我們大部分人
[1183.2-1184.7] AI對話就是線性的
[1184.7-1185.9] 這樣一直談下來對不對
[1185.9-1187.1] 然後在我們的功能裡面
[1187.1-1189.0] 就可以把它分級出去
[1189.0-1190.2] 可以差出去
[1190.2-1191.4] 所以說我想要一個主題
[1191.4-1192.4] 我想要差出去
[1192.4-1193.9] 然後在那個地方繼續談
[1193.9-1194.8] 談完之後
[1194.8-1195.7] 如果覺得蠻有價值
[1195.7-1196.6] 就留在那裡
[1196.6-1197.7] 或者說覺得沒有價值
[1197.7-1198.5] 把它刪掉
[1198.5-1200.0] 或者說可以把它接回來
[1200.0-1201.0] 然後你可以差再差
[1201.0-1202.3] 就是有三層
[1202.3-1203.5] 可以分支出去
[1203.5-1204.6] 那到最後的時候
[1204.6-1206.0] 你在決定要不要收數
[1206.0-1208.1] 或者有些東西會停下來
[1208.1-1210.0] 所以這個樣子
[1210.0-1212.4] 就是每一個學生會不一樣
[1212.4-1213.2] 所以前面說
[1213.2-1215.1] 雖然同一本文字有同樣的地圖
[1215.1-1216.6] 但是學生看不到地圖
[1216.6-1218.2] 但是你怎麼走進這個地圖
[1218.2-1220.4] 那就看學生自己要怎麼走
[1220.4-1222.4] 那AI我是不斷的幫助他
[1222.4-1223.9] 只要他願意談下去
[1223.9-1226.3] 他就會有機會走更深更遠
[1226.3-1229.0] 不會只是停留在表面
[1229.0-1229.8] 好 那這個
[1229.8-1231.5] 那後來就要做一些收數
[1231.5-1233.7] 所以我們會有一些筆記的功能
[1233.7-1235.7] 然後等一下也可以再DEMO
[1235.7-1238.8] 或甚至把這個歷程把它存檔下來
[1238.8-1240.6] 你可以從脈絡上去追回到
[1240.6-1243.2] 他是在這篇文字的那一段
[1243.2-1245.2] 或者說在哪一個對話當中
[1245.2-1246.8] 然後來談到這件事情
[1246.8-1249.0] 然後甚至我們有加了一個
[1249.0-1250.2] 簡要的查詢功能
[1250.2-1251.8] 就是查到一半他覺得這個人是誰
[1251.8-1253.0] 我想順便查一下
[1253.0-1254.0] 就用AI查一下
[1254.0-1256.5] 但是他查就是告訴一些事實而已
[1256.5-1258.1] 他不會繼續跟他討論
[1258.1-1259.6] 那目的就是讓學生說
[1259.6-1262.3] 可以保持在這個文字的範圍內
[1262.3-1265.0] 對這個文字想辦法盡可能的瞭解
[1265.0-1267.6] 那但是如果說沒有這個AI輔助的話
[1267.6-1269.1] 他要完全靠自己瞭解
[1269.1-1270.2] 那當然不是不可能
[1270.2-1271.5] 但是你知道這是少數
[1271.5-1272.5] 極少數的學生
[1272.5-1274.2] 大部分學生就是一臉茫然
[1274.2-1276.2] 但是如果他只是透過對話的方式的話
[1276.2-1278.1] 他可能就一點一點點
[1278.1-1279.2] 只要願意走下去
[1279.2-1281.5] 他就有可能走得更深
[1281.5-1282.4] 所以最重要的
[1282.4-1284.7] 把這些資料合在一起的時候
[1284.7-1286.4] AI就做一個摘要了
[1286.4-1289.4] 但是這個摘要和一般AI摘要文字不一樣
[1289.4-1292.1] 它是摘要
[1292.1-1294.2] AI有學生所講的話
[1294.2-1296.6] 和學生認為重要的東西
[1296.6-1298.7] 所以這個每一個學生寫下來
[1298.7-1300.3] 都會是不一樣的東西
[1300.3-1301.8] 所以它不是摘要這個文字
[1301.8-1302.5] 那個文字
[1302.5-1304.5] 那就是一樣的東西
[1304.5-1306.5] 所以說每個人講的是不一樣的
[1306.5-1307.9] 那最後摘要出來的東西
[1307.9-1309.9] 都包括沒有解的線索或什麼
[1309.9-1311.2] 都會留在裡面
[1311.2-1312.4] 那學生自己要去想
[1312.4-1313.8] 根據這個他怎麼寫出
[1313.8-1316.0] 他自己對這篇文章的看法
[1316.0-1318.2] 那這個當然老師就可以從
[1318.2-1319.3] 他的結論
[1319.3-1322.0] 還有這個過程都可以看得到
[1322.0-1324.1] 所以現在用兩分鐘的時間
[1324.1-1343.0] 大家看一下這實際上怎麼demo
[1343.0-1351.8] 這就是上傳一個文字
[1352.5-1354.5] 我就聲音有點小
[1354.5-1355.1] 我就這邊講
[1355.1-1356.3] 這邊是文字
[1356.3-1358.9] 然後這邊一開始會做一些導讀
[1358.9-1361.2] 就會一些簡單的介紹
[1361.2-1362.8] 然後背景的介紹
[1362.8-1364.2] 還有下面這個英字圖
[1364.2-1366.0] 就是讓學生至少稍微看過一下
[1366.0-1367.4] 這個文字是
[1367.4-1368.1] 大概是什麼
[1368.1-1368.9] 有點概念嘛
[1368.9-1375.3] 要不然他可能不太確定那是什麼
[1375.3-1378.5] 好 剛才給你看下面的文字
[1378.5-1379.7] 好 那進到介面的時候
[1379.7-1382.0] 我們現在就會先給他一個點說
[1382.0-1383.5] 欸 你要從哪裡開始
[1383.5-1384.8] 就留三個問題
[1385.4-1387.5] 那可以選擇一個問題
[1387.5-1389.0] 然後就開始來對話
[1389.0-1394.6] 所以你看那節外生質就出來了
[1394.6-1395.3] 這就是主幹
[1395.3-1396.1] 就是生出來
[1396.1-1397.7] 你可以再生
[1397.7-1398.4] 每一個生出來
[1398.4-1399.5] 你可以繼續對話
[1399.5-1401.4] 然後你可以選擇
[1401.4-1403.1] 所以它等於同時有好幾組對話
[1403.1-1404.7] 是平行進行的
[1404.7-1411.5] 所以你看畫一個線
[1411.5-1412.6] 它就會變成一個筆記
[1412.6-1424.1] 就有點像是筆記的功能
[1424.1-1425.3] 如果是課程的話就下去
[1425.3-1427.2] 如果不是的話就另外選擇
[1427.2-1428.2] 然後
[1428.2-1431.0] 那導讀也是我們一開始的
[1431.0-1432.8] 摘要的部分
[1432.8-1435.5] 對 那這邊還有一個尾部
[1435.5-1438.0] 它會等於說幫他做一個摘要和整理
[1438.0-1440.4] 我們等一下走得很快啦
[1440.4-1441.8] 可是實際上最長的時間
[1441.8-1444.4] 是在中間對話的時間
[1444.4-1445.7] 然後他就會把一些歷程
[1445.7-1447.8] 把它做一些整理
[1447.8-1449.0] OK
[1449.0-1450.5] 那就讓大家可以看到說
[1450.5-1451.9] 這個流程是這樣
[1451.9-1452.8] 那接下來一點時間
[1452.8-1453.9] 我讓宇恩來介紹一下
[1453.9-1460.6] 他自己實際使用的感覺
[1460.6-1462.9] 各位與會的老師大家好
[1462.9-1465.5] 我是外語系的楊奕恩同學
[1465.5-1466.8] 那我簡單會
[1466.8-1471.6] 使用《莊子的逍遙遊》這篇去分析說
[1471.6-1475.7] 我如何透過讀伴去引導我做更深入的
[1475.7-1477.9] 不管是發想或者是收斂
[1477.9-1479.5] 我自己的想法過程
[1479.5-1484.1] 那我這次會透過我之前修過課的期末報告的結論
[1484.1-1488.0] 跟近期與讀伴對話的結果去做分析
[1488.0-1491.0] 那我的對話也大概進行了100人左右
[1491.0-1496.0] 所以不是單純的一兩次對話就得出的結果
[1496.0-1496.2] 好
[1496.2-1498.7] 那我就直接進入文字的分享
[1498.7-1502.3] 那一開始我是從小大之變的設立去切入的
[1502.3-1505.1] 我的一開始的想法是覺得
[1505.1-1506.5] 昆蓬的形象巨大
[1506.5-1509.5] 那象徵無限的可能性和自由
[1509.5-1516.0] 我就把這個想法當作切入點丟到讀伴的對話裡面
[1516.0-1518.4] 他就開始挑戰我的想法說
[1518.4-1520.7] 可是蓬鳥需要風需要積水
[1520.7-1525.5] 這些條件還有時機這樣還算是無限的自由嗎?
[1525.5-1526.2] 所以我就從這個想法去做分析了
[1526.2-1530.2] 然後從這個點開始進入我們更深入的討論
[1530.2-1533.2] 那其實可能兩個支點都不成立
[1533.2-1540.2] 所以我自己的理解是這篇文章就一直在拆小大這把尺的過程
[1540.2-1545.2] 所以我也整理出讀伴如何引導我思考的一些框架
[1545.2-1549.2] 然後因為篇幅有限的關係
[1549.2-1554.2] 所以我就截圖一些我們討論的過程去介紹給大家
[1554.2-1555.2] 對
[1555.2-1556.2] 然後這是其中一個討論
[1556.2-1560.2] 就是說宋榮子已經不靠外在的評價
[1560.2-1562.2] 那為何仍然有有為數
[1562.2-1564.2] 然後或者是他就引導我說
[1564.2-1569.2] 莊子心目中最後一步的至人無己的無己是什麼意思呢?
[1569.2-1572.2] 連自我判斷這件事本身要放下嗎?
[1572.2-1577.2] 然後我就說會不會是沒有對自己的成見呢?
[1577.2-1579.2] 那接下來我們又討論到說
[1579.2-1582.2] 那小和大到底是誰去決定的?
[1582.2-1585.2] 我就問說是人們自己去定義的嗎?
[1585.2-1589.2] 那他也繼續根據我的想法繼續引導說
[1589.2-1591.2] 那最後那個條就說
[1591.2-1593.2] 此亦非之志也
[1593.2-1596.2] 他的志到底也是誰去定的?
[1596.2-1598.2] 所以透過這些過程當中
[1598.2-1599.2] 我就不斷的思考
[1599.2-1602.2] 不斷的去質疑自己原本的想法
[1602.2-1604.2] 然後我後來又說
[1604.2-1607.2] 我後來已經覺得自己好像已經快抓住重點
[1607.2-1609.2] 然後這個東西又不見了
[1609.2-1613.2] 是因為抓住的話就是會有你跟我的之分嗎?
[1613.2-1614.2] 所以好像抓住的那一刻
[1614.2-1616.2] 就已經不是他了
[1616.2-1618.2] 他也繼續鼓勵我想下去說
[1618.2-1621.2] 如果志這件事情是自我去決定的
[1621.2-1623.2] 那無己是逍遙的條件
[1623.2-1628.2] 那真正一個逍遙的人還會有志這件事情嗎?
[1628.2-1630.2] 所以簡單來說
[1630.2-1632.2] 我把它整理一下
[1632.2-1634.2] 他問過我的問題大概是
[1634.2-1636.2] 他的志是誰定的?
[1636.2-1637.2] 然後後來問我說
[1637.2-1639.2] 遇風而行還是猶有所待
[1639.2-1640.2] 那彭鳥呢?
[1640.2-1641.2] 或者是最後說
[1641.2-1642.2] 不靠外在判斷的為什麼還
[1642.2-1643.2] 為什麼還要去定義呢?
[1644.2-1646.2] 然後最後說
[1646.2-1648.2] 連自我判斷本身也要放下嗎?
[1648.2-1650.2] 去層層推進我的想法
[1650.2-1654.2] 然後讓我也去更好地去收束自己的想法
[1654.2-1656.2] 然後因為像大偉老師剛剛沒有介紹
[1656.2-1658.2] 我們有另外一個分支的功能
[1658.2-1661.2] 那我在過程中會持續思考到說
[1661.2-1664.2] 那我們是透過怎樣的觀點去
[1664.2-1667.2] 在觀看這篇文章的呢?
[1667.2-1669.2] 我就問他說
[1669.2-1672.2] 條中的效果會不會像是老子所說的
[1672.2-1674.2] 像是聞到情而行之呢?
[1674.2-1677.2] 像是聞到大孝之的感覺呢?
[1677.2-1679.2] 他說你這個想法很不錯
[1679.2-1681.2] 那你會不會覺得
[1681.2-1683.2] 條中的效是不是也是一種
[1683.2-1685.2] 以為自己懂了的觀點?
[1685.2-1687.2] 我就突然恍然大悟說
[1687.2-1690.2] 好像我某方面也覺得自己已經懂了
[1690.2-1693.2] 所以我是不是某方面也成為了條中呢?
[1693.2-1695.2] 這是在我跟他對話的過程中
[1695.2-1697.2] 形成一種很有趣的觀點
[1697.2-1700.2] 然後也是我自己覺得滿有趣的地方
[1700.2-1702.2] 好,所以簡單來說
[1702.2-1703.2] 我一開始是從
[1703.2-1705.2] 小大的相對性出發
[1705.2-1708.2] 最後慢慢一步一步被他引導到說
[1708.2-1711.2] 蕭瑤會不會是離開小大這把尺本身
[1711.2-1713.2] 那相較於我最後
[1713.2-1716.2] 原本的期末報告的結論就只有在強調說
[1716.2-1720.2] 真正的智慧在於能夠超越這些相對的界線
[1720.2-1723.2] 達到一些蕭瑤無拘無束的境界
[1723.2-1725.2] 比較籠統的一些結論
[1725.2-1729.2] 然後所以終關以上的分享
[1729.2-1732.2] 我覺得獨辦在我陪伴閱讀的過程中
[1732.2-1734.2] 真的是一個很棒的工具
[1734.2-1736.2] 就是他不會直接跟我講答案
[1736.2-1738.2] 他會一步一步引導我去
[1738.2-1740.2] 整理我自己的想法
[1740.2-1742.2] 然後最後可以收束成
[1742.2-1745.2] 屬於我自己對於文字的理解
[1745.2-1746.2] 這樣子,對
[1746.2-1748.2] 那我就請道維老師繼續
[1748.2-1753.7] 那你要再請你跟我們分享一下
[1753.7-1755.7] 他自己在這個過程當中的感受
[1755.7-1757.7] 那我們總共做這個大概
[1757.7-1760.7] 有沒有五六個月吧
[1760.7-1762.7] 差不多這樣
[1762.7-1765.7] 那接下來剛剛講的是學生
[1765.7-1766.7] 教師端嘛
[1766.7-1767.7] 那教師端是什麼呢
[1767.7-1770.7] 事實上教師端是可以掌握這個過程
[1770.7-1773.7] 因為這文字是老師給的
[1773.7-1776.7] 所以說我覺得這配合課堂使用是比較好
[1776.7-1777.7] 然後老師給的文字
[1777.7-1780.7] 學生是從前端可以看到這些文字
[1780.7-1783.7] 那當然他可以看到AI怎麼去解析它
[1783.7-1784.7] 如果有必要的話
[1784.7-1785.7] 你可以把這個內容做一些修改
[1785.7-1787.7] 我想那個院長有看過
[1787.7-1789.7] 我給他看幾篇測試的結果
[1789.7-1790.7] 當然有一些他覺得很不錯
[1790.7-1792.7] 有一些覺得要再修改
[1792.7-1793.7] 這都沒有關係
[1793.7-1795.7] 好,然後那
[1795.7-1798.7] 上傳之後學生就可以去對話
[1798.7-1799.7] 所以例如說老師說
[1799.7-1801.7] 你下禮拜要交報告
[1801.7-1803.7] 那這樣這個禮拜過程中
[1803.7-1805.7] 老師就可以看學生講的是什麼
[1805.7-1807.7] 那你說這會不會牽涉到隱私
[1807.7-1808.7] 這哪有什麼隱私
[1808.7-1810.7] 這就是學習工具嘛
[1810.7-1812.7] 這不是來跟你談你自己個人的事情
[1812.7-1814.7] 我要了解你的學習過程
[1814.7-1815.7] 這有什麼問題呢
[1815.7-1816.7] 然後那這樣的話
[1816.7-1818.7] 老實說我自己的小派
[1818.7-1819.7] 在我們圖書上
[1819.7-1821.7] 我真的蠻喜歡看學生怎麼跟小派聊天
[1821.7-1822.7] 你會看到說
[1822.7-1823.7] 談到之後
[1823.7-1824.7] 原來我懂了
[1824.7-1825.7] 你就覺得
[1825.7-1826.7] 我們小派發教會
[1826.7-1827.7] 然後或者說你會知道
[1827.7-1829.7] 學生到底在什麼問題當中卡住
[1829.7-1830.7] 要不然的話
[1830.7-1831.7] 他平常不會問的嘛
[1831.7-1833.7] 那你這樣有時候稍微選一下
[1833.7-1834.7] 就大概知道
[1834.7-1837.7] 原來我的學生大概在關心什麼東西
[1837.7-1839.7] 好,然後那最後這個歷程呢
[1839.7-1841.7] 你會看到的不會是
[1841.7-1842.7] 學生最終的報告
[1842.7-1843.7] 學生也沒辦法騙你啦
[1843.7-1845.7] 因為這個出來就是出來這個東西
[1845.7-1847.7] 當然他可以再做後來的修飾
[1847.7-1849.7] 但是你知道他是根據什麼在做修飾
[1849.7-1850.7] 對不對
[1850.7-1852.7] 那所以如果從這樣角度來講的話
[1852.7-1853.7] 當然各位要怎麼評分
[1853.7-1854.7] 那就是各位聽眾的把持
[1854.7-1858.7] 但是至少不會再是盲目的只看到結果
[1858.7-1859.7] 卻沒有看到過程
[1859.7-1861.7] 然後那也希望這個過程
[1861.7-1863.7] 可以對學生有所幫助的
[1863.7-1864.7] 給大家看一下
[1864.7-1865.7] 那你進來的話
[1865.7-1866.7] 大概會像這樣
[1866.7-1867.7] 然後這個是一個邀請碼
[1867.7-1868.7] 就是這個就可以給學生
[1868.7-1870.7] 學生就可以聽到在你的課程當中
[1870.7-1873.7] 你可以看到學生的名單在這裡
[1873.7-1875.7] 然後你後來可以看到他的過程
[1875.7-1877.7] 那像這個的話是跟那個
[1877.7-1878.7] 文字有關的
[1878.7-1880.7] 例如說我上傳了幾個文字
[1880.7-1882.7] 然後像這個是關於這個
[1882.7-1884.7] 我這邊選這個
[1884.7-1887.7] 就是10P的那個博弈列傳
[1887.7-1889.7] 那個李老師給我的
[1889.7-1891.7] 那這邊你就會看到AI怎麼去分析
[1891.7-1892.7] 博弈列傳的內容
[1892.7-1894.7] 那也很長
[1894.7-1896.7] 那原來大概五六頁左右內容
[1896.7-1898.7] 那五六頁就是我剛剛講的地圖
[1898.7-1901.7] 那當然學生不知道這個地圖
[1901.7-1902.7] 然後他要跟他對話
[1902.7-1903.7] 我學生老師
[1903.7-1904.7] 如果我是老師的話
[1904.7-1906.7] 我上課之後會把學生講的東西
[1906.7-1908.7] 和我這個地圖攤出來
[1908.7-1909.7] 讓學生看
[1909.7-1910.7] 看看你們講的半天
[1910.7-1912.7] 跟這個地圖相比差多少
[1912.7-1914.7] 他就會知道他的
[1914.7-1916.7] 現在我瞭解的這麼少
[1916.7-1917.7] 那這樣的話
[1917.7-1918.7] 當然他們願意的話
[1918.7-1919.7] 可以想辦法再挺多做
[1919.7-1921.7] 那當然這個我們並不是說
[1921.7-1924.7] 這個一定都是可以到很好的程度
[1924.7-1926.7] 最好的可能是在大選部
[1926.7-1928.7] 這個中低年級這一段
[1928.7-1930.7] 可能在建立基礎上面的話
[1930.7-1931.7] 會有所幫助
[1931.7-1932.7] 到研究生的話
[1932.7-1934.7] 也許他的程度就可能不夠
[1934.7-1935.7] 因為你搞不好會讀論文
[1935.7-1937.7] 會有些更特別的看法
[1937.7-1938.7] 可能不是我們現在的AI
[1938.7-1940.7] 能夠完全掌握到
[1940.7-1941.7] 而且這也是有可能
[1941.7-1942.7] 不過沒有關係
[1942.7-1943.7] 我們主要的物件
[1943.7-1945.7] 可能比較是基礎的
[1945.7-1946.7] 這些學科
[1946.7-1948.7] 或者是包括通識的學科
[1948.7-1949.7] 所以說這邊
[1949.7-1951.7] 我們沙漠來從中間的差異
[1951.7-1953.7] 如果你用一般的LM的話
[1953.7-1955.7] 基本上很有效率的讀完
[1955.7-1957.7] 這是為什麼學生喜歡它
[1957.7-1959.7] 因為他就覺得不用浪費時間
[1959.7-1961.7] 它提供了某種標準答案
[1961.7-1962.7] 但實際上它的缺點就是
[1962.7-1964.7] 學生沒有精緻的體力
[1964.7-1965.7] 甚至簡單來說
[1965.7-1967.7] 學生根本就沒有讀文章
[1967.7-1968.7] 他就叫AI讀
[1968.7-1970.7] 根本就沒有在自己讀
[1970.7-1972.7] 但是我們的讀辦是要求學生
[1972.7-1973.7] 要可以自己讀的
[1973.7-1974.7] 因為他要跟他對話
[1974.7-1975.7] 他要內涵
[1975.7-1976.7] 對不對
[1976.7-1977.7] 那他在讀辦會告訴他說
[1977.7-1979.7] 那你看到哪一點
[1979.7-1980.7] 支援你這個想法
[1980.7-1983.7] 所以學生要回去看他旁邊的文字
[1983.7-1985.7] 說我看到這句話
[1985.7-1986.7] 然後這句話這樣想
[1986.7-1988.7] 他也可以擴的過來
[1988.7-1989.7] 所以他目的就是讓他
[1989.7-1991.7] go through這一個文章
[1991.7-1993.7] 他可能談個幾百回都有機會
[1993.7-1995.7] 那它結構是樹狀的
[1995.7-1996.7] 所以它是透明的
[1996.7-1998.7] 而且是可以把它做整理
[1998.7-2000.7] 當然如果你學生想法太發散
[2000.7-2002.7] 你後來老師也可以看了
[2002.7-2003.7] 可以看到他的發散
[2003.7-2004.7] 對不對
[2004.7-2005.7] 然後可以提醒說
[2005.7-2007.7] 那你這邊怎麼樣把自己收束回來
[2007.7-2009.7] 那希望可以這個過程
[2009.7-2011.7] 可以保留這個
[2011.7-2013.7] 可以保留這個過程
[2013.7-2014.7] 也間接的等於說
[2014.7-2017.7] 看到學生實際上怎麼樣的在互動
[2017.7-2019.7] 那這樣的話應該會有助於
[2019.7-2021.7] 我們對教學上的一些瞭解
[2021.7-2023.7] 也希望讓學生可以感受到說
[2023.7-2025.7] 原來讀這種經典文字
[2025.7-2026.7] 可以是很有趣的
[2026.7-2028.7] 而不會是一種很困難的東西
[2028.7-2030.7] 因為有人在幫助他
[2030.7-2032.7] 一點一點的提醒他可以怎麼想
[2032.7-2034.7] 然後他只是要不斷去回憶
[2034.7-2035.7] 但是呢
[2035.7-2038.7] 最終也有機會再把它拉回來
[2038.7-2041.7] 所以我們認為說這個AI不是單純的
[2041.7-2043.7] 只是一個回答引擎
[2043.7-2044.7] 只是一個給一個東西
[2044.7-2045.7] 這是傳統的一個觀念
[2045.7-2048.7] 我們可以把它建立成一個什麼
[2048.7-2051.7] 可以持續對話的一個教學的代表
[2051.7-2053.7] 或是一個學習的環境
[2053.7-2054.7] 那當然要打造這個東西
[2054.7-2056.7] 就剛剛跟趙老師講的一樣
[2056.7-2057.7] 我們不是
[2057.7-2059.7] 可能不是每一個老師自己要打造
[2059.7-2062.7] 我覺得這樣不太實際
[2062.7-2063.7] 但是呢
[2063.7-2064.7] 我們可以說
[2064.7-2065.7] 例如說歷史學門
[2065.7-2066.7] 婚人社學門
[2066.7-2069.7] 然後有幾個老師一起來研究
[2069.7-2072.7] 然後假設教育部或學校來做一些
[2072.7-2074.7] 因為投資很少錢的
[2074.7-2075.7] 不會多少
[2075.7-2077.7] 然後弄出一個不錯的一個AI
[2077.7-2078.7] 大家一起分享
[2078.7-2079.7] 甚至不會只有一個
[2079.7-2081.7] 除非有兩個三個
[2081.7-2082.7] 然後大家看哪一個比較好
[2082.7-2083.7] 你有你自己的理論
[2083.7-2085.7] 你有你自己的設計
[2085.7-2086.7] 這個比較好用
[2086.7-2087.7] 我可能就用這個
[2087.7-2088.7] 那這樣的話
[2088.7-2089.7] 是不是大家
[2089.7-2091.7] 我們的教學內容就會比較豐富一點
[2091.7-2092.7] 也不會覺得說
[2092.7-2094.7] 我們離AI這麼遙遠
[2094.7-2095.7] 那事實上
[2095.7-2096.7] 因為你在參與的過程當中
[2096.7-2098.7] 你會把你對於歷史
[2098.7-2099.7] 對於人文
[2099.7-2101.7] 對於很多你關注的一個點
[2101.7-2102.7] 可以放在這裡面
[2102.7-2104.7] 那AI就會來配合你
[2104.7-2106.7] 所以我們一定要把AI當成一個工具
[2106.7-2107.7] 而不是當那個B人
[2107.7-2108.7] 但是為什麼
[2108.7-2110.7] 我們現在才能把他當一個B人呢
[2110.7-2112.7] 因為我們覺得對他束手無力
[2112.7-2113.7] 那事實上不是的
[2113.7-2114.7] 你透過AI coding
[2114.7-2115.7] 今天趙老師講
[2115.7-2117.7] 你叫AI自己寫code
[2117.7-2118.7] 自己做網頁
[2118.7-2119.7] 做出你要的東西來
[2119.7-2120.7] 那就是你的能力
[2120.7-2123.7] 但是我們常常沒有善用這種工具
[2123.7-2125.7] 只是被動的等到他的結果
[2125.7-2126.7] 所以我們現在這個
[2126.7-2127.7] 因為剛做出來
[2127.7-2128.7] 我們這學期
[2128.7-2129.7] 會在新大哲學院
[2129.7-2131.7] 和同學中間一些課程
[2131.7-2132.7] 開始試用
[2132.7-2134.7] 收集更多的使用意見
[2134.7-2135.7] 現在有部分的使用意見
[2135.7-2136.7] 都還不錯
[2136.7-2138.7] 但是當然就會慢慢再調整
[2138.7-2140.7] 但未來希望收集更多
[2140.7-2141.7] 如果各位老師有興趣的話
[2141.7-2143.7] 也可以填一下這個表
[2143.7-2144.7] 那我們知道說你有興趣
[2144.7-2147.7] 那等到我們時間能力夠一點的話
[2147.7-2148.7] 我們再更新一點
[2148.7-2149.7] 說不定在你的課堂
[2149.7-2150.7] 也可以來使用
[2150.7-2151.7] 好
[2151.7-2153.7] 那我就先簡單報告到這裡
[2153.7-2154.7] 不好意思
[2154.7-2155.7] 謝謝
[2155.7-2160.2] 你沒有提牌
[2160.2-2161.2] 我還沒操控
[2161.2-2162.2] 謝謝
[2162.2-2163.2] 謝謝王老師
[2163.2-2164.2] 那接下來是最後一場活動
[2164.2-2165.2] 跟著討論
[2165.2-2166.2] 那接下來是最後一場活動
[2166.2-2167.2] 跟著討論
